iter	Passed	Remaining
0	103	103344
1	129	64371
2	158	52793
3	189	47141
4	209	41734
5	241	39952
6	276	39254
7	310	38445
8	342	37686
9	377	37390
10	400	36049
11	429	35341
12	462	35080
13	506	35680
14	556	36531
15	576	35471
16	606	35043
17	633	34535
18	649	33559
19	684	33528
20	707	33000
21	746	33183
22	778	33052
23	813	33077
24	832	32450
25	865	32420
26	892	32149
27	915	31793
28	949	31800
29	991	32042
30	1015	31737
31	1056	31969
32	1093	32046
33	1132	32186
34	1168	32214
35	1202	32203
36	1220	31770
37	1254	31768
38	1294	31891
39	1320	31685
40	1357	31763
41	1392	31760
42	1419	31582
43	1446	31436
44	1480	31409
45	1511	31351
46	1544	31326
47	1574	31221
48	1605	31159
49	1635	31070
50	1664	30964
51	1688	30782
52	1712	30601
53	1736	30417
54	1747	30021
55	1764	29747
56	1798	29758
57	1819	29557
58	1842	29389
59	1871	29322
60	1900	29261
61	1935	29279
62	1957	29113
63	1988	29084
64	2020	29068
65	2042	28907
66	2070	28838
67	2088	28631
68	2122	28631
69	2140	28442
70	2171	28414
71	2213	28535
72	2244	28502
73	2274	28459
74	2298	28352
75	2328	28304
76	2355	28229
77	2371	28035
78	2387	27835
79	2403	27645
80	2439	27674
81	2452	27451
82	2482	27426
83	2508	27352
84	2530	27235
85	2557	27175
86	2580	27080
87	2600	26948
88	2629	26913
89	2660	26896
90	2672	26698
91	2699	26643
92	2720	26527
93	2757	26581
94	2781	26493
95	2802	26388
96	2817	26225
97	2843	26174
98	2865	26076
99	2876	25892
100	2903	25846
101	2927	25776
102	2976	25917
103	3000	25850
104	3030	25829
105	3061	25819
106	3095	25831
107	3110	25693
108	3145	25709
109	3158	25553
110	3186	25519
111	3199	25366
112	3231	25368
113	3249	25257
114	3263	25112
115	3287	25051
116	3316	25026
117	3336	24935
118	3346	24773
119	3374	24743
120	3397	24678
121	3426	24662
122	3442	24546
123	3463	24466
124	3475	24329
125	3491	24222
126	3504	24089
127	3528	24037
128	3547	23952
129	3563	23847
130	3593	23839
131	3605	23706
132	3624	23628
133	3654	23617
134	3672	23528
135	3689	23437
136	3705	23341
137	3728	23290
138	3747	23210
139	3770	23162
140	3787	23074
141	3817	23068
142	3839	23007
143	3858	22934
144	3887	22921
145	3909	22865
146	3932	22819
147	3944	22706
148	3966	22654
149	3995	22640
150	4015	22577
151	4047	22579
152	4077	22570
153	4100	22526
154	4130	22517
155	4159	22504
156	4182	22459
157	4203	22402
158	4236	22405
159	4259	22364
160	4284	22326
161	4314	22318
162	4327	22222
163	4361	22234
164	4395	22241
165	4427	22243
166	4448	22186
167	4478	22180
168	4505	22152
169	4535	22145
170	4566	22137
171	4591	22104
172	4620	22088
173	4636	22011
174	4656	21953
175	4694	21980
176	4725	21972
177	4764	22002
178	4803	22031
179	4846	22079
180	4883	22098
181	4918	22107
182	4931	22016
183	4952	21965
184	4989	21982
185	5012	21937
186	5027	21859
187	5049	21809
188	5066	21739
189	5078	21651
190	5102	21613
191	5128	21580
192	5147	21524
193	5187	21554
194	5211	21513
195	5243	21508
196	5265	21464
197	5279	21386
198	5301	21338
199	5315	21260
200	5331	21192
201	5348	21128
202	5369	21080
203	5386	21017
204	5404	20959
205	5425	20911
206	5454	20895
207	5494	20921
208	5527	20919
209	5550	20878
210	5571	20834
211	5585	20762
212	5601	20694
213	5639	20711
214	5681	20743
215	5708	20720
216	5737	20701
217	5784	20748
218	5816	20741
219	5836	20694
220	5865	20675
221	5899	20673
222	5923	20638
223	5950	20615
224	5979	20596
225	5994	20531
226	6010	20466
227	6041	20456
228	6053	20380
229	6080	20355
230	6111	20344
231	6134	20306
232	6146	20234
233	6190	20263
234	6227	20271
235	6261	20270
236	6300	20284
237	6336	20285
238	6355	20236
239	6374	20187
240	6409	20184
241	6429	20137
242	6445	20080
243	6476	20065
244	6509	20059
245	6530	20015
246	6542	19944
247	6558	19888
248	6571	19819
249	6587	19761
250	6601	19699
251	6624	19662
252	6669	19693
253	6694	19662
254	6709	19600
255	6746	19608
256	6762	19551
257	6777	19490
258	6787	19419
259	6798	19350
260	6820	19312
261	6841	19271
262	6857	19216
263	6912	19270
264	6953	19285
265	6974	19244
266	6985	19177
267	7002	19127
268	7033	19114
269	7059	19087
270	7077	19039
271	7098	18999
272	7148	19037
273	7167	18992
274	7180	18930
275	7193	18869
276	7217	18837
277	7232	18782
278	7243	18718
279	7265	18682
280	7285	18641
281	7298	18583
282	7328	18566
283	7346	18520
284	7374	18501
285	7406	18489
286	7424	18444
287	7451	18420
288	7482	18407
289	7506	18379
290	7546	18386
291	7574	18364
292	7593	18323
293	7621	18300
294	7636	18249
295	7673	18251
296	7712	18255
297	7734	18220
298	7753	18179
299	7784	18162
300	7811	18141
301	7827	18092
302	7856	18072
303	7882	18045
304	7894	17987
305	7906	17932
306	7937	17916
307	7971	17910
308	7990	17868
309	8020	17851
310	8056	17849
311	8072	17800
312	8093	17763
313	8130	17762
314	8176	17779
315	8193	17736
316	8205	17678
317	8236	17665
318	8258	17630
319	8274	17583
320	8296	17550
321	8327	17533
322	8342	17485
323	8365	17453
324	8386	17418
325	8400	17368
326	8417	17324
327	8437	17287
328	8471	17277
329	8515	17289
330	8543	17268
331	8560	17223
332	8577	17181
333	8600	17148
334	8620	17112
335	8645	17084
336	8669	17055
337	8681	17003
338	8698	16961
339	8709	16906
340	8730	16871
341	8754	16843
342	8788	16833
343	8805	16792
344	8837	16778
345	8865	16758
346	8885	16721
347	8923	16719
348	8959	16712
349	8982	16682
350	8995	16632
351	9013	16592
352	9035	16560
353	9057	16529
354	9084	16506
355	9100	16462
356	9115	16417
357	9145	16400
358	9173	16379
359	9211	16376
360	9239	16354
361	9261	16322
362	9296	16314
363	9317	16279
364	9347	16262
365	9368	16229
366	9385	16188
367	9409	16159
368	9426	16120
369	9444	16080
370	9455	16031
371	9477	15999
372	9507	15981
373	9534	15958
374	9547	15912
375	9559	15865
376	9597	15860
377	9615	15821
378	9637	15791
379	9677	15789
380	9700	15759
381	9722	15728
382	9736	15685
383	9750	15642
384	9783	15627
385	9816	15614
386	9831	15572
387	9843	15526
388	9867	15498
389	9902	15488
390	9917	15446
391	9948	15430
392	9986	15424
393	10000	15381
394	10013	15337
395	10045	15322
396	10081	15312
397	10107	15288
398	10141	15276
399	10178	15267
400	10194	15227
401	10219	15202
402	10236	15164
403	10267	15146
404	10281	15105
405	10300	15070
406	10320	15037
407	10336	14997
408	10347	14952
409	10379	14936
410	10418	14931
411	10433	14890
412	10468	14878
413	10511	14878
414	10541	14859
415	10567	14835
416	10580	14792
417	10596	14754
418	10624	14732
419	10636	14688
420	10676	14683
421	10696	14650
422	10727	14633
423	10751	14606
424	10776	14579
425	10793	14543
426	10808	14504
427	10831	14475
428	10855	14449
429	10889	14434
430	10912	14406
431	10938	14382
432	10955	14345
433	10969	14305
434	10988	14273
435	11011	14244
436	11036	14219
437	11057	14187
438	11076	14154
439	11094	14119
440	11112	14086
441	11132	14053
442	11159	14031
443	11193	14017
444	11213	13985
445	11230	13950
446	11247	13914
447	11288	13909
448	11305	13874
449	11325	13841
450	11344	13809
451	11378	13794
452	11390	13754
453	11411	13723
454	11439	13701
455	11469	13682
456	11512	13679
457	11538	13655
458	11561	13627
459	11591	13607
460	11624	13591
461	11657	13575
462	11686	13554
463	11717	13535
464	11753	13523
465	11781	13500
466	11809	13478
467	11840	13459
468	11881	13451
469	11910	13430
470	11947	13418
471	11979	13400
472	12007	13377
473	12044	13366
474	12066	13336
475	12083	13302
476	12107	13274
477	12141	13259
478	12162	13228
479	12198	13214
480	12216	13181
481	12251	13166
482	12263	13126
483	12284	13096
484	12305	13067
485	12328	13038
486	12359	13019
487	12385	12994
488	12413	12972
489	12431	12939
490	12459	12916
491	12501	12908
492	12525	12881
493	12566	12871
494	12606	12861
495	12645	12849
496	12685	12838
497	12709	12811
498	12743	12794
499	12768	12768
500	12797	12746
501	12827	12724
502	12847	12694
503	12881	12676
504	12916	12660
505	12945	12638
506	12982	12624
507	13017	12607
508	13067	12605
509	13104	12590
510	13145	12580
511	13178	12560
512	13210	12540
513	13242	12521
514	13274	12501
515	13302	12477
516	13333	12456
517	13368	12439
518	13399	12418
519	13429	12396
520	13456	12371
521	13501	12363
522	13528	12338
523	13561	12319
524	13587	12293
525	13619	12273
526	13642	12244
527	13678	12227
528	13715	12211
529	13750	12193
530	13782	12173
531	13812	12150
532	13842	12128
533	13871	12104
534	13900	12081
535	13932	12060
536	13962	12038
537	13983	12008
538	14011	11984
539	14041	11960
540	14071	11938
541	14104	11918
542	14126	11888
543	14140	11853
544	14173	11832
545	14191	11800
546	14218	11775
547	14249	11753
548	14284	11734
549	14321	11717
550	14349	11693
551	14378	11669
552	14406	11645
553	14436	11622
554	14469	11601
555	14513	11589
556	14546	11569
557	14579	11548
558	14617	11531
559	14649	11510
560	14686	11492
561	14721	11473
562	14756	11453
563	14787	11431
564	14818	11409
565	14851	11388
566	14888	11370
567	14920	11347
568	14954	11327
569	14991	11309
570	15029	11291
571	15066	11273
572	15100	11253
573	15137	11234
574	15169	11212
575	15194	11184
576	15223	11160
577	15251	11135
578	15284	11113
579	15314	11089
580	15342	11064
581	15373	11041
582	15410	11022
583	15443	11000
584	15484	10984
585	15532	10973
586	15569	10954
587	15595	10927
588	15629	10906
589	15667	10887
590	15696	10862
591	15726	10838
592	15755	10813
593	15785	10789
594	15814	10764
595	15846	10741
596	15885	10723
597	15920	10702
598	15956	10682
599	15992	10661
600	16026	10640
601	16065	10621
602	16103	10602
603	16134	10578
604	16165	10554
605	16195	10529
606	16223	10503
607	16254	10479
608	16292	10460
609	16324	10436
610	16357	10414
611	16394	10394
612	16428	10371
613	16472	10355
614	16524	10344
615	16559	10322
616	16588	10297
617	16618	10271
618	16651	10249
619	16681	10224
620	16713	10200
621	16748	10178
622	16785	10157
623	16822	10136
624	16858	10115
625	16896	10094
626	16934	10074
627	16973	10054
628	17011	10033
629	17045	10010
630	17076	9986
631	17104	9959
632	17119	9925
633	17154	9902
634	17183	9877
635	17216	9853
636	17250	9830
637	17285	9807
638	17321	9785
639	17357	9763
640	17391	9740
641	17427	9718
642	17468	9698
643	17503	9676
644	17550	9659
645	17583	9635
646	17618	9612
647	17655	9590
648	17700	9573
649	17743	9554
650	17778	9530
651	17815	9508
652	17852	9486
653	17886	9463
654	17919	9438
655	17953	9414
656	18003	9399
657	18044	9378
658	18081	9356
659	18115	9332
660	18139	9303
661	18173	9279
662	18197	9249
663	18232	9225
664	18265	9201
665	18296	9175
666	18329	9151
667	18364	9127
668	18396	9102
669	18436	9080
670	18472	9057
671	18509	9034
672	18560	9018
673	18595	8994
674	18625	8967
675	18654	8940
676	18688	8916
677	18718	8890
678	18748	8863
679	18778	8836
680	18810	8811
681	18849	8788
682	18883	8764
683	18915	8738
684	18954	8716
685	18993	8693
686	19027	8669
687	19068	8647
688	19102	8622
689	19134	8596
690	19164	8570
691	19195	8543
692	19234	8520
693	19267	8495
694	19297	8468
695	19329	8442
696	19364	8418
697	19406	8396
698	19445	8373
699	19479	8348
700	19526	8328
701	19576	8310
702	19627	8291
703	19670	8270
704	19708	8246
705	19742	8221
706	19785	8199
707	19823	8175
708	19856	8149
709	19888	8123
710	19919	8096
711	19960	8073
712	19992	8047
713	20022	8020
714	20048	7991
715	20081	7965
716	20114	7939
717	20149	7913
718	20188	7889
719	20224	7865
720	20260	7840
721	20295	7814
722	20328	7788
723	20359	7761
724	20394	7735
725	20428	7709
726	20462	7683
727	20516	7665
728	20572	7647
729	20610	7623
730	20655	7601
731	20694	7576
732	20739	7554
733	20774	7528
734	20810	7503
735	20845	7477
736	20884	7452
737	20914	7424
738	20948	7398
739	20982	7372
740	21030	7350
741	21070	7326
742	21111	7302
743	21147	7276
744	21182	7250
745	21223	7226
746	21258	7199
747	21286	7171
748	21319	7144
749	21356	7118
750	21391	7092
751	21431	7067
752	21462	7040
753	21499	7014
754	21537	6988
755	21591	6968
756	21623	6941
757	21652	6912
758	21683	6885
759	21720	6859
760	21752	6831
761	21787	6805
762	21820	6777
763	21861	6753
764	21898	6726
765	21943	6703
766	21980	6677
767	22025	6653
768	22066	6628
769	22106	6603
770	22140	6576
771	22175	6549
772	22215	6523
773	22249	6496
774	22299	6474
775	22341	6449
776	22389	6425
777	22420	6397
778	22450	6369
779	22487	6342
780	22524	6316
781	22560	6289
782	22631	6272
783	22668	6245
784	22707	6219
785	22743	6192
786	22773	6163
787	22802	6134
788	22832	6105
789	22867	6078
790	22904	6051
791	22943	6025
792	22977	5997
793	23010	5969
794	23043	5942
795	23059	5909
796	23094	5882
797	23132	5855
798	23173	5829
799	23206	5801
800	23238	5773
801	23269	5744
802	23299	5716
803	23335	5688
804	23365	5659
805	23395	5631
806	23425	5602
807	23459	5574
808	23490	5546
809	23522	5517
810	23552	5488
811	23583	5460
812	23633	5435
813	23663	5407
814	23693	5378
815	23723	5349
816	23753	5320
817	23781	5291
818	23802	5260
819	23831	5231
820	23861	5202
821	23890	5173
822	23922	5144
823	23954	5116
824	23988	5088
825	24018	5059
826	24048	5030
827	24080	5002
828	24111	4973
829	24144	4945
830	24176	4916
831	24209	4888
832	24241	4859
833	24270	4830
834	24303	4802
835	24339	4774
836	24376	4747
837	24409	4718
838	24440	4690
839	24470	4660
840	24499	4631
841	24529	4602
842	24562	4574
843	24598	4546
844	24648	4521
845	24681	4492
846	24715	4464
847	24750	4436
848	24786	4408
849	24819	4379
850	24848	4350
851	24880	4321
852	24912	4293
853	24944	4264
854	24976	4235
855	25014	4208
856	25049	4179
857	25085	4151
858	25118	4123
859	25153	4094
860	25187	4066
861	25222	4037
862	25259	4009
863	25296	3981
864	25330	3953
865	25367	3925
866	25402	3896
867	25437	3868
868	25473	3840
869	25505	3811
870	25537	3782
871	25576	3754
872	25611	3725
873	25663	3699
874	25694	3670
875	25733	3642
876	25771	3614
877	25806	3585
878	25839	3556
879	25872	3528
880	25906	3499
881	25951	3471
882	25985	3443
883	26020	3414
884	26058	3386
885	26073	3354
886	26106	3325
887	26146	3297
888	26187	3269
889	26218	3240
890	26251	3211
891	26289	3183
892	26328	3154
893	26361	3125
894	26403	3097
895	26442	3069
896	26477	3040
897	26515	3011
898	26555	2983
899	26586	2954
900	26620	2925
901	26813	2913
902	26851	2884
903	26888	2855
904	26925	2826
905	26956	2796
906	26985	2766
907	27013	2737
908	27042	2707
909	27074	2677
910	27103	2647
911	27138	2618
912	27174	2589
913	27210	2560
914	27241	2530
915	27272	2500
916	27303	2471
917	27331	2441
918	27363	2411
919	27391	2381
920	27420	2352
921	27450	2322
922	27488	2293
923	27521	2263
924	27555	2234
925	27586	2204
926	27614	2174
927	27642	2144
928	27671	2114
929	27701	2085
930	27732	2055
931	27767	2025
932	27824	1998
933	27858	1968
934	27889	1938
935	27924	1909
936	27953	1879
937	27981	1849
938	28009	1819
939	28038	1789
940	28068	1759
941	28098	1730
942	28127	1700
943	28157	1670
944	28187	1640
945	28229	1611
946	28262	1581
947	28290	1551
948	28321	1522
949	28352	1492
950	28382	1462
951	28413	1432
952	28445	1402
953	28472	1372
954	28486	1342
955	28515	1312
956	28545	1282
957	28581	1253
958	28611	1223
959	28641	1193
960	28669	1163
961	28699	1133
962	28729	1103
963	28759	1074
964	28791	1044
965	28843	1015
966	28874	985
967	28905	955
968	28940	925
969	28983	896
970	29013	866
971	29043	836
972	29071	806
973	29099	776
974	29135	747
975	29164	717
976	29194	687
977	29227	657
978	29258	627
979	29289	597
980	29318	567
981	29349	537
982	29381	508
983	29412	478
984	29440	448
985	29469	418
986	29499	388
987	29528	358
988	29558	328
989	29596	298
990	29626	269
991	29656	239
992	29686	209
993	29716	179
994	29744	149
995	29775	119
996	29810	89
997	29863	59
998	29899	29
999	29931	0
